LATITUDE,LONGITUDE,reef.alias,Water_Samples,Region,Subregion,Season,waterYear,Date,Mnth,DOC
-16.6599089,145.7028086,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2014,2014-07-03,7,939.40397167
-16.6604393,145.7052887,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2012,2012-02-20,2,770.6148299900001
-16.6606667,145.7053333,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2008,2008-03-28,3,724.0749374925
-16.6613333,145.7068333,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2011,2011-02-10,2,960.1755398362499
-16.6613924,145.7056003,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2013,2012-10-12,10,908.38837174125
-16.6614494,145.7059704,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2015,2015-06-17,6,821.82048552
-16.6616667,145.7033333,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2019,2019-02-08,2,898.3227183424999
-16.6616667,145.705,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2021,2021-02-15,2,1097.8654549999999
-16.6618404,145.7051045,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2010,2010-06-26,6,774.7568533675
-16.66185,145.7055833,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2020,2020-02-04,2,905.829563315
-16.6618539,145.7056486,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2014,2013-10-12,10,824.58912611625
-16.661975,145.7049862,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2013,2013-06-19,6,981.8288355124998
-16.6620251,145.7082806,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2011,2010-10-07,10,787.0616424274999
-16.6623333,145.706,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2017,2017-02-11,2,1141.1931256574999
-16.6623909,145.7054071,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2014,2014-02-05,2,843.6917207912498
-16.66245,145.7044667,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2018,2017-11-09,11,909.0214565375
-16.6625333,145.7050833,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2022,2022-06-09,6,879.5955574999999
-16.6626,145.7051833,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2021,2021-06-12,6,892.0869974999999
-16.662657,145.7056378,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2013,2013-02-15,2,823.2548241262499
-16.6628333,145.7053333,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2007,2007-04-20,4,686.8951572399999
-16.6628333,145.7061667,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2022,2021-10-04,10,857.2550974999999
-16.6629167,145.7053667,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2020,2019-10-21,10,800.7333433424999
-16.6629357,145.7032985,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2016,2015-11-01,11,866.9718163349999
-16.6629409,145.7053793,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2012,2011-10-02,10,911.729726845
-16.663,145.7028333,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2017,2017-06-21,6,958.7517108549999
-16.6630584,145.705436,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2009,2008-10-11,10,669.5410939174999
-16.6630874,145.7060103,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2010,2009-10-11,10,716.7552389137498
-16.6631648,145.7018555,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2014,2014-09-24,9,791.9356461724999
-16.6631667,145.7053333,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2018,2018-03-01,3,1185.5038666374999
-16.6633333,145.7033333,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2007,2006-10-30,10,731.9579069299999
-16.6633333,145.705,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2019,2018-11-01,11,733.1714383149999
-16.6633333,145.705,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2019,2019-06-19,6,1088.4968749999998
-16.6633333,145.7061667,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2022,2022-02-13,2,989.4361524999998
-16.6633333,145.7066667,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2020,2020-07-15,7,870.7974999999999
-16.6633333,145.7066667,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2020,2020-09-30,9,925.027165
-16.6634252,145.7053644,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2011,2011-06-21,6,996.2698259637501
-16.6634833,145.7060667,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2008,2008-08-07,8,681.6120888625
-16.6637891,145.705137,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2015,2015-02-19,2,873.1883496049999
-16.664,145.7043333,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2005,2005-09-17,9,598.403814465
-16.6641667,145.7043333,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2016,2016-06-25,6,802.367289755
-16.6643068,145.7040453,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2009,2009-06-15,6,720.5095922524999
-16.6643333,145.7051667,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2018,2018-05-31,5,934.6882128499999
-16.6647405,145.705729,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2012,2012-06-07,6,1084.08271239
-16.665,145.7068333,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2016,2016-02-26,2,850.90271982
-16.6660213,145.7065395,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2009,2009-02-25,2,767.29078574
-16.6663333,145.7043333,Double Island,AIMS,Wet Tropics,Barron Daintree,Dry,2017,2016-10-24,10,968.1067484524999
-16.7695754,145.9535945,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2015,2015-02-18,2,883.462559005
-16.7696667,145.95285,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2018,2017-11-09,11,1002.006444715
-16.7707577,145.9542038,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2009,2009-02-25,2,807.6852200599999
-16.7712652,145.954019,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2014,2014-09-24,9,817.18371403875
-16.7713333,145.9538333,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2008,2008-03-28,3,702.44596409125
-16.7713544,145.9546437,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2014,2014-07-03,7,817.97740091875
-16.7716667,145.9533333,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2019,2019-02-08,2,913.3364683425001
-16.7716667,145.955,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2019,2019-06-19,6,805.7379366849999
-16.7716667,145.955,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2021,2021-02-14,2,996.5526700000001
-16.7717089,145.9548342,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2014,2014-02-05,2,761.1946477312499
-16.7718731,145.9532884,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2013,2013-02-15,2,863.58021021
-16.7721667,145.9558333,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2017,2017-02-11,2,1070.1237383825
-16.7722754,145.9555019,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2011,2011-06-21,6,901.6971487375
-16.7723333,145.9548333,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2017,2017-06-21,6,883.6758443374999
-16.7723333,145.9553333,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2007,2007-04-19,4,739.8341502075
-16.77239,145.9540716,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2012,2012-02-20,2,806.6449473499999
-16.7726667,145.955,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2020,2020-02-04,2,930.8525
-16.7726667,145.9563333,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2017,2016-10-24,10,999.6595553699999
-16.7728333,145.9553333,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2022,2021-10-03,10,847.195885
-16.7728667,145.9561667,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2008,2008-08-07,8,718.0377284525
-16.7728914,145.9550533,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2013,2013-06-19,6,939.5379543749999
-16.7728923,145.9547823,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2010,2010-06-26,6,826.88442821625
-16.7729,145.9543667,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2008,2007-10-16,10,578.68313373
-16.773039,145.9529158,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2015,2015-06-17,6,858.5079649099999
-16.7731667,145.9556667,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2011,2011-02-10,2,902.439698785
-16.7732167,145.9552833,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2016,2015-11-01,11,814.6195907449999
-16.7732233,145.9561946,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2014,2013-10-12,10,790.1721761387499
-16.7732376,145.9552397,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2010,2010-03-03,3,858.6494965284999
-16.7732924,145.9551003,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2009,2008-10-11,10,626.7420211142709
-16.7733333,145.955,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2007,2006-10-30,10,662.66451115625
-16.7733333,145.955,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2018,2018-03-01,3,1326.5730015824997
-16.7733333,145.955,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2020,2020-07-14,7,878.3043749999999
-16.7733333,145.9551667,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2016,2016-02-26,2,926.6138481275
-16.7733333,145.9566667,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2019,2018-11-01,11,875.8020933424999
-16.7734167,145.9551,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2020,2019-10-21,10,903.3273116849999
-16.773459,145.9555491,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2011,2010-10-07,10,799.6841824925
-16.7734984,145.9564596,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2013,2012-10-12,10,985.7119918124998
-16.7735923,145.9555825,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2010,2009-10-11,10,802.1216591241216
-16.7737167,145.95505,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2021,2021-06-12,6,830.56065
-16.7739,145.9546833,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2022,2022-06-08,6,887.2825975
-16.7740214,145.9550606,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2009,2009-06-15,6,696.29316419
-16.7741667,145.9561667,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2022,2022-02-12,2,865.9931
-16.7741913,145.95738,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2012,2012-06-07,6,896.93038820875
-16.7743333,145.9551667,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2005,2005-09-18,9,572.6029253099999
-16.7751667,145.9553333,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2018,2018-05-31,5,898.784511265
-16.7753998,145.9563095,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2012,2011-10-02,10,822.8497831787499
-16.7766667,145.9563333,Green Island,AIMS,Wet Tropics,Barron Daintree,Wet,2006,2006-01-24,1,701.16075706375
-16.7766667,145.9583333,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2020,2020-09-29,9,922.5048550000002
-16.7773333,145.9536667,Green Island,AIMS,Wet Tropics,Barron Daintree,Dry,2016,2016-06-25,6,837.02460987
-16.7853005,145.7459549,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Dry,2014,2014-09-24,9,767.4853639400001
-16.7853607,145.7480185,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Wet,2015,2015-02-19,2,1222.9203836999998
-16.7854,145.7459167,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Dry,2020,2019-10-21,10,835.7654066575002
-16.7854082,145.7459987,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Dry,2014,2013-10-12,10,773.638659295
-16.785439,145.745239,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Dry,2009,2008-10-11,10,687.1463673049999
-16.7854576,145.7472872,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Dry,2010,2010-06-26,6,887.1292770849999
-16.7854757,145.74695,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Dry,2013,2013-06-19,6,1018.8954721449999
-16.7855407,145.7470708,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Wet,2012,2012-02-20,2,779.3243363925
-16.7856833,145.7461667,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Dry,2008,2007-10-15,10,624.4413503475
-16.7859167,145.74615,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Wet,2018,2017-11-09,11,947.0088864575
-16.7859432,145.7465232,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Dry,2015,2015-06-17,6,897.923682895
-16.7861242,145.7462039,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Dry,2013,2012-10-12,10,789.1750079049999
-16.7862833,145.74685,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Dry,2008,2008-08-07,8,780.671219905
-16.7862952,145.7456394,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Wet,2010,2010-03-03,3,745.3550964399999
-16.7863333,145.7468333,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Dry,2017,2016-10-24,10,987.8016956199999
-16.7864573,145.7477624,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Dry,2011,2010-10-07,10,776.5439700575
-16.7864667,145.7471833,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Wet,2020,2020-02-04,2,988.4051883149999
-16.7864676,145.7458905,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Dry,2010,2009-10-11,10,709.3115267599999
-16.7865,145.747,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Wet,2016,2016-02-26,2,845.4458823000001
-16.7865,145.748,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Wet,2017,2017-02-11,2,1209.24670097
-16.7866667,145.7463333,Yorkey's Knob,AIMS,Wet Tropics,Barron Daintree,Wet,2019,2019-02-08,2,1168.5702183424999
